"Article","Abstract"
"June 04, 2010","It is the aim of this article to demonstrate that the impact of coups d’état in international political discourse outweighs actual consequences under the law of responsibility in international law. This article argues that - leaving aside the hypothesis of effective control by a foreign state - coups d’état, despite being systematically condemned in political discourse, do not engage the responsibility of any state as they cannot be attributed to any international legal subject. The article however argues that coups can constitute preparatory actions to a subsequent internationally wrongful act."
"June 04, 2010","This Article has two primary objectives. The first is to trace the use of force to protect the freedom of travel on the high seas and the right to engage in commerce. This historical context shows that the use of force against piracy off the coast of Somalia is not unprecedented. However, given the increase in military capabilities and the lethality of war in the last century, the use of force against piracy must adhere to the requirements of necessity and proportionality."
"June 04, 2010","This article focusing on torture meted out to female prisoners of war is a detailed account of the various methods of torture used on female detainees of war, either to extract information and confessions forcefully or to take revenge against their men, who may have participated actively in hostilities, from the opposition camps. It is noteworthy that there are secret detention centers operating in different parts of the world where female prisoners may be lodged and subjected to physical abuse, for absolutely no valid reason. Detainees are often not granted Prisoner of War (POW) Status in order to deprive them of their basic rights and subsequently to make them soft targets for torture and inhuman treatment."
"June 03, 2010","This article is a response to the challenge of nuclear non-proliferation for the 21st century. It describes the new landscape of nuclear risk and explains the role that the extraordinary developments in nuclear forensics science can play in generating an expansive deterrence to improve nuclear security by governments, and diminish the nuclear risk presented by terrorists and other non-state actors. Exploring the potential of nuclear forensics science, it provides the analysis to understand why that potential is not being realized. The article then proposes, as a practical and achievable foundation for a new and expansive deterrence, the establishment of an international nuclear forensics data bank, and the legal and institutional basis required. It explains the superiority of the proposed international data bank to alternative modalities of nuclear risk reduction such as the imposition of sanctions, revealing the guiding principles for effective nuclear containment in the twenty-first century."
"June 03, 2010","The industrial relations system at Magna International is an example of an integrated, coherent, non-union human resource management strategy. It includes significant mechanisms of worker voice and conflict resolution as substitutes for union representation. Potential labour-management conflicts associated with Taylorized labour processes are often translated into group problem-solving. Redistributive conflicts are re-framed as mutual gains through profit-sharing. Corporate communications promote an ethos of competitiveness. Individualized pay and promotion schemes, segmented internal labour markets, and the exposure of individual plants to competitive pressures, promote cultures of labour cooperation in the pursuit of productivity gains. The success of this union avoidance model is situated in a context of the erosion of unionized labour relations, the disciplinary effects of precarious labour markets, and the vulnerability of workplaces to transnational competitive forces. Continued success is predicated on Magna’s ability to survive sectoral and macroeconomic restructuring forces which are, in large measure, beyond management’s control."
"June 02, 2010","This report prepared for the Department of Justice, Victoria, presents an interim evaluation of two projects that support mediation and conflict resolution projects that are connected to Court and community programs. The Report includes developed evaluation tools for the agencies to use into the future as well as material on restorative justice and mediation programs."
"June 02, 2010","The U.S. approach to armed conflict has recently undergone a profound shift as policymakers and military commanders have been forced to seek solutions to the seemingly intractable problems associated with developing countries and their relative instability. This focus on reconstruction and stabilization has led to the rise of “stability operations” – a relatively new addition to the military lexicon. Moreover, what is now called “stability operations” is a hybrid area that fuses a core military mission with a field of knowledge and experience that is dominated, at least in theory, by civilians. In that regard, there is another grey area surrounding the question of what conduct disqualifies a civilian from the protections and immunity traditionally given to civilians during armed conflict. The resultant lack of clarity can translate into significant legal consequences – both for civilians who are mobilized pursuant to such an effort and for U.S. policymakers who seek to criminalize the conduct of terrorists and insurgents."
"June 02, 2010","This is the opening chapter of the first entire academic journal issue devoted to the specific role of the UN Security Council in implementing the responsibility to protect. The Security Council’s role in implementing the responsibility to protect is not limited to taking collective action against mass atrocities (pillar three). The Council can also make important contributions to structural and operational prevention of genocide, war crimes, ethnic cleansing, and crimes against humanity (pillar two). It regularly mandates UN peace operations to support security sector reform and the establishment of effective judicial authorities in post-conflict countries. By doing so, it strengthens the national protection capability of states that typically face a high risk of relapse into mass violence. When the Security Council mandates peace operations to support the disarmament, demobilization, and reintegration of former combatants it also strengthens the fabric of a post-conflict society. In addition, the Council can conduct preventive diplomacy under Chapter VI of the UN Charter to encourage states to fulfill their responsibility to protect as they confront a crisis. The contributions by the Security Council to the implementation of the responsibility to protect complement the important roles of the General Assembly, the Human Rights Council, the Peacebuilding Commission and other United Nations bodies. All contributions of the Security Council to the implementation of the responsibility to protect have to occur within the scope of the authority granted to the Security Council by the UN Charter."
"June 02, 2010","Genocide is a crime with a double mental element, i.e. a general intent as to the underlying acts, and an ulterior intent with regard to the ultimate aim of the destruction of the group. The prevailing view in the case-law interprets the respective ‘intent to destroy’ requirement as a special or specific intent (dolus specialis) stressing its volitional or purpose-based tendency. While this view has been followed for a long time in legal doctrine without further ado, it has recently been challenged by knowledge- and structure-based approaches, which have not received sufficient attention. A historical, literal, systematic and teleological interpretation of the ‘intent to destroy’ requirement, taking into account the particular structure of the genocide offence and the meaning of ‘intent’ in comparative law, reveals that the traditional view can no longer be maintained. It should be replaced by a combined structure- and knowledge-based approach that distinguishes according to the status and role of the (low-, mid- and top-level) perpetrators. Thus, the purpose-based intent should be upheld only with regard to the top- and mid-level perpetrators, whereas for the lowlevel"
"June 02, 2010","Khadr and Charkaoui II highlighted that the Canadian Security Intelligence Service (“CSIS”) has constitutional and statutory obligations to retain and disclose secret intelligence. Although the two cases were made outside of the criminal context, they, when combined with McNeil, have implications for the retention and disclosure of intelligence in terrorism prosecutions. The two decisions by the Supreme Court of Canada have the potential to subject secret intelligence to the rule of law, external verification and adversarial challenge in legal proceedings."
"June 01, 2010","This review examines how India perceives its own rise to power by undertaking a detailed analysis of the Indian National Security Index (NSI) for the period from 2003 to 2008. Like other power formulas, the NSI includes various indicators of power, though it is uniquely Indian in that it initially emphasized human development and later included ecology based on a holistic human‐security paradigm. The analysis demonstrates that this holistic approach has now been abandoned in favor of a more conventional one, and that the technical formulas and theoretical concepts of the NSI exhibit various inconsistencies and problems. In particular, one can recognize the absolute need for a unified standard for handling variables in the construction of composite indexes in general."
"June 01, 2010","This article applies a modified version of the theoretical approach of the Copenhagen School to demonstrate that the Association of Southeast Asian Nations (ASEAN) has since 2001 reacted in a twofold way to the complex political obstacles to closer counter-terrorism co-operation: First, it has responded with securitising terrorism as a transnational crime and, second, with a depoliticisation and ‘ASEANisation’ of its counter-terrorism policies. Depoliticisation and ‘ASEANisation’, i.e. the framing of a security threat under the ASEAN Way values, are both deliberate political actions. They enable politicians to base co-operation among the ASEAN members and with outside powers on a non-political, technical basis. Contradicting an assumption of the Copenhagen School, this study argues that in South-East Asia where sovereignty and non-interference are still core principles this approach can offer better political opportunities to resolve a security threat than a ‘classic’ securitisation. Furthermore, this article demonstrates that ASEAN’s anti-terrorism policies reflect its fragmented version of human security, which is based on national and regime rather than individual security. As counter-terrorism does not enjoy political priority in the region, these policies can only be a weak trigger for the implementation of ASEAN’s notion of human security."
"June 01, 2010","The use of the Weibull distributions showed some success over a decade ago in stochastically  explaining processes of political conflict, but there seems to be so little work in this field that its utility is in danger of becoming forgotten. This paper is historical in that it presents two papers by Petersen originally published in 1977 and 1981 that provide an overview of his approach with extended illustration of its use. The overall technique is also explained. The main illustration provided is that of the Sino-Indian boarder dispute of the 1960s, a development of Smoker's original time series study."
"May 29, 2010","Since the adoption of the European Employment Strategy and the Lisbon strategy, convergence of social protection goals and labour market policies across EU countries features prominently on the European agenda. Embedded in convergence, Europeanisation and welfare state literature, this paper examines the role of European integration in changing social policies. It shows that since 1995, social expenditures of EU member states have converged and increased on average, whereas those of non-EU countries have diverged, corrected for cyclical and demographic effects. This EU-specific convergence pattern of social expenditures leads to the subsequent question whether or not national policies also have converged. Relying on disaggregated expenditure data and policy indicators, this study shows an EU-specific trend of increasing activation of labour market policies. However, within this scope of activation, countries have opted for different mixes of policy instruments."
"May 28, 2010","Using two theoretical categories of the work of Robert Nozick: (a) protection agencies and (b) minimal state, to illustrate by analogy with the CMSP, the dilemmas arising from the use of private military in regions with civil wars and conflicts irregular. We see that the relations preserved PBMC protection agencies (AP) as they act and are consolidated as an economic market and through coalitions that can replace the monopoly of force of modern states. Indeed, protection agencies to Nozick the same characteristics of the new mercenary armies, only the latter have managed to systematize their methods of recruitment services in the wider protection market."
"May 28, 2010","Of War and Law seems to be animated by a certain philosophical perplexity regarding the ambiguous relation between the apparently antithetical nature of the terms appearing in its title.Since antiquity both jurists and philosophers have taught that law’s raison d’être is that of making social peace possible, of overcoming what would later be commonly known as the Hobbesian state of nature: bellum omnium contra omnes. Kant noted that law should be perceived first and foremost as a pacifying tool – in other words, ‘the establishment of peace constitutes, not a part of, but the whole purpose of the doctrine of law’– and Lauterpacht projected that same principle onto the international sphere: ‘the primordial duty’ of international law is to ensure that ‘there shall be no violence among states’.The paradox, of course, lies in that law performs its pacifying function not by means of edifying advice, but by the threat of the use of force. In this sense, as David Kennedy points out, ‘to use law is also to invoke violence, at least the violence that stands behind legal authority’. Hobbes himself never concealed the fact that the state, ‘that mortal god, to which we owe under the immortal God our peace and defence’, would succeed in eradicating inter-individual violence precisely due to its ability to ‘inspire terror’; but Weber (‘the State is a human community that (successfully) claims the monopoly of the legitimate use of physical force within a given territory’), Godwin, and Kelsen have also provided support for the same proposition."
"May 27, 2010","The recognition of citizens’ rights and the constitution of different citizenships in Latin America have followed a socio-historic pattern as in other parts of the World. Marshall (1964) identified three types of citizenship referring to the British case: the civil, which refers to the main individual liberty rights; the political, which gives the right to elect and be elected; and the social, which covers those rights aimed at the well being of the population. These types of citizenship form today a modern one, which answers to a horizontal logic as all different citizenships become one. Our essay’s objective is to show that the Colombian internally displaced people (IDP’s) could be classified as follows: Firstly, as “Social Supercitizens” thanks to the recognition of their condition as vulnerable population and the application of positive discrimination measures (health, education, and housing) which aim at producing social well being. Secondly, as political and civil subcitizens, those are not a priority in any political agenda and have no guarantee in relation to their basic rights and participation in public life."
"May 27, 2010","We use data from an innovative nationally representative survey of 6,000 Pakistanis in April 2009 to study beliefs about political Islam, Sharia, the legitimacy and efficacy of jihad, and attitudes towards specific militant organizations. These issues are the forefront of US policy towards Pakistan. Four results shed new light on the politics of militancy and Islamic identity in Pakistan. First there is no relationship between measures of personal religiosity and the likelihood a respondent expresses highly sectarian sentiments. Second, militarized jihad is widely seen as legitimate in Pakistan but there are substantial regional differences in the acceptance of militarized jihad. Third, attitudes towards militant groups vary dramatically across groups, particularly when it comes to the efficacy of their actions. Fourth while Pakistanis express massive levels of support for Sharia law this is driven by its perceived connection with good governance, not by sympathy with the goals of militant groups claiming to implement it."
"May 27, 2010","In recent years, legal scholars and practitioners alike have expressed major misgivings about the advice that the Department of Justice’s Office of Legal Counsel (OLC) provided to former President George W. Bush following the attacks of September 11, 2001. On February 19, 2010, House Judiciary Committee Chairman John Conyers Jr. released internal communications of the Justice Department that uniformly and definitively discredit – in multiple and material aspects – the OLC’s now-infamous August 1, 2002, “torture memoranda”. The debate about what the OLC got wrong is over. It is time to consider what went wrong with the OLC."
"May 27, 2010","During the 2008 presidential campaign, then-candidate Barack Obama stated: “Sometimes, the preventive use of force may be necessary, but rarely. The experience of Iraq underscores that often, perceived threats are not as real [as] they may seem, and our intelligence may be imperfect. But, when our intelligence is good and defensible we should not rule out the use of force.” This chapter examines ways of assessing legally whether that intelligence is sufficiently good and defensible. It argues that an objective reasonable necessity approach to WMD capability assessments can serve long-term peace and security objectives and, more specifically, how the law governing use of force might evolve to guide capability assessments. A reasonable necessity approach, combined with an objective standard of assessing WMD capability and operating as a narrow legal alternative to formal U.N. Security Council authorization, can best balance and allocate competing risks in an environment of significant capability uncertainty. Moreover, the substantive evidentiary issues forced to the surface through objective reasonableness analysis are critical to managing some of the dangers of operating outside explicit U.N. Security Council authority, and are critical to the effective operation of the legal processes that the strict UN Charter constructionists advocate."
"May 27, 2010","This article considers a major debate in the American and European counterterrorism analytic community – whether the primary terrorist threat to the West is posed by hierarchical, centralized terrorist organizations operating from geographic safe havens, or by radicalized individuals conducting a loosely organized, ideologically common but operationally independent fight against western societies –  and this debate’s implications for both jus ad bellum and jus in bello. Analysis of how the law of armed conflict might be evolving to deal with terrorism should engage in more nuanced and sophisticated examination of how terrorism threats are themselves evolving. Moreover, the merits of legal reform proposals depend on their capacity to meet strategic needs while protecting humanitarian, liberty, and conflict-resolution interests. That capacity, in turn, depends on how well the assumptions underlying those proposals track accurately the anticipated – but uncertain – future terrorism threat environment."
"May 26, 2010","Foreign Aid Policy Analysis with Respect to Third World Countries. Are the Leading Third World Countries  Following the Footsteps of the Developed Nations?  If Yes, then What is the Difference between Us and Them. What About the Credibility of the Ethical Argument Raised by the Poor Nations? Where Does it Lead Us? Or the World Has Become Playground for Survival of the Fittest."
"May 26, 2010","Since World War II there have been about fifty episodes of large-scale mass killings of civilians and massive forced displacements. They were usually meticulously planned and independent of military goals. We provide a model where conflict onset, conflict intensity and the decision to commit mass killings are all endogenous, with two main goals: (1) to identify the key variables and situations that make mass killings more likely to occur; and (2) to distinguish conditions under which mass killings and military conflict intensity reinforce each other from situations where they are substitute modes of strategic violence. We predict that mass killings are most likely in societies with large natural resources, significant proportionality constraints for rent sharing, low productivity and low state capacity. Further, massacres are more likely in a civil than in an interstate war, as in the latter group sizes matter less for future rents. In non polarized societies there are asymmetric equilibria with only the larger group wanting to engage in massacres. In such settings the smaller group compensates for this by fighting harder in the first place. In this case we can talk of mass killings and fighting efforts to be substitutes. In contrast, in polarized societies either both or none of the groups can be ready to do mass killings in case of victory. Under the 'shadow of mass killings' groups fight harder. Hence, in this case massacres and fighting are complements."
"May 26, 2010","NATO’s Role in Afghanistan."
"May 26, 2010","Discussion of civil liberties during wartime often omit the fact that there can be no meaningful liberty at all if our homes and offices are bombed or our loved ones are killed or injured by acts of terror. The Government must be given the tools necessary to accomplish its vital mission. The first priority must be to win the war against terrorism. There are, however, other priorities. The United States, in its just battle for freedom, must ensure that freedom is preserved during that battle as well. Moreover, care must be taken so that an exaggerated cry of “emergency” is not accepted uncritically as an excuse for eliminating the protections of a free society. The role of citizens in general, and lawyers in specific, is to maintain the difficult balance between patriotism and skepticism."
"May 25, 2010","After decades of civil conflict leading to massive internal displacement of people, Northern Uganda is peaceful again and hundreds of thousands of displaced people are relocating. Using data from maps and satellite imagery, we examine the placement of homes before, during and after the conflict. Examining two study sites, one that experienced a great deal of violence over an extended period of time and one where the experience of violence was more limited, we observe the clustering of home placement in the post-conflict period. As resettlement occurs, there is also evidence of increased location of homes in close proximity to roads in the site with high levels of violence. This research informs what we presently know about the choices of returnees and has implications for service provision and the reclamation of property rights after conflict."
"May 25, 2010","This article explores data relating to public support for Iran’s nuclear program, using data from 2006 collected by Fair working with a consortium of institutional partners. The authors evaluate a few general hypotheses from the literature regarding support for nuclear programs using these new data from Iran. Before presenting empirical results, they first provide some background to this poll and some of the challenges that the team encountered. This discussion illuminates both the strengths and weaknesses of the data that undergrid this study. Second, they address some of the questions about the relevance and integrity of data collected by the consortium and used in this analysis. They address forthrightly whether or not public opinion matters in a country like Iran and whether polling of Iranians is a useful exercise given the degree of coercion which is ascribed to the regime. They present the top-line results of questions germane to Iranian support for its country’s program and some reasons cited for this support as well as results from logistic regressions, which focuses on key outcome measures which allows them to identify independent variables that explain variation in selected dependent variables. They proffer several analytical lessons that can be drawn from this exercise."
"May 25, 2010","Decision makers in the field of national security, counterterrorism and counterinsurgency are faced with an uncertain, adaptive and asymmetrical threat. It should come as no surprise that a great need exists to understand covert organizations, the structure of which becomes known partially only after an attack or operation has occurred. What is known however is that many covert networks are organized in compartmentalized cellular structures. To better understand these cellular structures we model and analyze these cells as a collection of subsets of all participants in the covert organization, i.e., as hypergraphs or affiliation networks. Since terrorist cells can be viewed as graph theoretical cliques, i.e., everybody in the cell knows everybody else, such a covert affiliation network structure is analyzed by evaluating the one-mode projection of the corresponding hypergraph. First we provide a characterization of the total distance in the one-mode projection using its corresponding cell-shrinked version. Secondly we evaluate the one-mode projection with respect to the secrecy versus information tradeoff dilemma every covert organization has to solve. We present and analyze affiliation networks representing common covert organizational forms: star, path and semi-complete hypergraphs. In addition we evaluate an example of a covert organization wishing to conduct an attack and compare its performance to that of the common covert organizational forms. Finally we investigate affiliation networks that are optimal in the sense of balancing secrecy and information and we prove that among covert organizational forms in the class of hypertrees with the same number of cells uniform star affiliation networks are optimal."
"May 25, 2010","In the absence of a single authoritative mechanism to interpret humanitarian law, a number of treaty bodies, national courts, regional human rights courts/commissions, international tribunals, and thematic mechanisms have been called upon to address humanitarian law issues. Prime among these institutions is the United States Supreme Court. Though only in a small number of cases, the Court has relied on humanitarian law principles and treaties from the early days of the Republic to the “war on terrorism.” In what ways does the Court invoke this body of law and how competent is its analysis? Is the Court institutionally equipped to play a meaningful role in the development of humanitarian law?"
"May 25, 2010","This Report reviews the UNDP Strengthening the Justice System Programme in Timor-Leste, examining how and whether the key goal of promoting greater access to justice and strengthening judicial institutions were met in the post-conflict period."
"May 24, 2010","Western Sahara is occupied by Morocco. The referendum on the territory’s final status set forth by the United Nations Mission for the Referendum in Western Sahara (MINURSO) has repeatedly been postponed and the so far brokered proposals have been rejected by both parties. Since the Moroccan occupation the Saharawis have been continuously repressed through arbitrary arrests, enforced disappearances, and attacks of the civilian population, persecution and oppression of peaceful demonstrations. The violation of fundamental human rights is an ongoing issue. It is argued that these violations may constitute crimes against humanity, further on this article suggests that the international community should act as soon as possible to end Moroccan impunity and to make greater efforts for a just and lasting solution of the question of Western Sahara."
"May 24, 2010","This paper aims at making a preliminary assessment of China in the WTO dispute settlement system from an international socialization perspective. When China joined the World Trade Organization (WTO) in November 2001, it was not clear how China would behave in WTO dispute settlement. At first, China proved to be a conciliatory defendant and reluctant complainant. Recently however, China’s profile in dispute settlement has shifted to a more proactive one, leading some observers to label its behavior “aggressive.”"
"May 23, 2010","I have attempted to generate Insight using Competitive Intelligence to enter the mind of Insurgent Leaders in Iraq, Afghanistan and India, to assist law enforcement agencies in their quest for Competitive Intelligence to outflank and outmaneuver Insurgency in Iraq, Afghanistan and India, thereby making “Emerging Markets” in Middle East and Africa and Asia more conducive to “Foreign Investment” and hence “Mitigating Risks of Globalization for International Businesses”."
"May 23, 2010","The absence of an internationally accepted definition of terrorism has led to international lawlessness and unilateral vigilantism.  The post 9/11 War on Terror resulted from the longstanding failure of the international community to agree on a definition of terrorism, which in turn has intensified the war of terrors between the two sides.  From the viewpoint of one side, this is a justified (unilaterally, because this side has capability to move and manage military might and resources) War on Terror to protect human rights, freedoms, civilization and the (self-styled) global rule of law.  This side has labeled its War on Terror a just war by definition, defocusing a possible response mechanism to address the very real problem of international terrorism.  The method of this War on Terror by the coalition of willing nations against insurgents and failed states will lead to likely forfeiture of sovereign equality, hot pursuits of terrorists under the claim of international rule of law without proper application of the UN charter, and so-called justified preventive war and regime change without regard to the interests and human rights of the people of weak or failed states.  The result is a fiercely proclaimed or professed new international law and order.  On the other side, weak or failed states and stateless actors view terror as a justified response to a history of terrorism (a series of events resulting in victimization by domination, colonization, hegemonization, and the silencing of dissent). In order to avoid such a division and debate, the definition of terrorism needs to include the terrorist activities conducted not only by the failed or likely to be failed states and scattered non-state actors, but also should include the terrorist activities engaged in by the powerful states.  This inclusive approach in defining terror has the potential to create an international acceptability to the definition of terrorism.  At the same time, this approach will provide an objective standard for all state and non-state actors to use in response to the problem of terrorism.  Such a clear and inclusive standard might suffer from the lack of traditional enforcement mechanisms in international law; however, it will provide a legal basis for international consensus to criticize and to pressure a country or a group that engages in terrorist activities."
"May 23, 2010","Most scholarship on negotiation ethics has focused on the topics of deception and disclosure. In this Article, I argue for considering a related, but distinct, ethical domain within negotiation ethics. That domain is the ethics of orientation. In contrast to most forms of human interaction, a clear purpose of negotiation is to get the other party to take an action on one's behalf, or at least to explore that possibility. This gives rise to a core ethical tension in negotiation that I call the object-subject tension: how does one reconcile the fact that the other party is a potential means to one's ends with general ethical requirements for treating people? In response, I argue that there is a general moral duty to respect other people, a duty that is not overridden by the fact of negotiation. I examine the nature of this duty and its implications for both direct principal-to-principal negotiations and legal negotiations conducted indirectly through lawyers."
"May 22, 2010","Does ethnicity matter for explaining violence during civil wars? I exploit variation in the identity of soldiers who conducted so-called “sweep” operations (zachistki) in Chechnya (2000–5) as an empirical strategy for testing the link between ethnicity and violence. Evidence suggests that the intensity and timing of insurgent attacks are conditional on who “swept” a particular village. For example, attacks decreased by about 40% after pro-Russian Chechen sweeps relative to similar Russian-only operations. These changes are difficult to reconcile with notions of Chechen solidarity or different tactical choices. Instead, evidence, albeit tentative, points toward the existence of a wartime “coethnicity advantage.” Chechen soldiers, enmeshed in dense intraethnic networks, are better positioned to identify insurgents within the population and to issue credible threats against civilians for noncooperation. A second mechanism - prior experience as an insurgent - may also be at work. These findings suggest new avenues of research investigating the conditional effects of violence in civil wars."
"May 22, 2010","This study revisits Iraqi international migration since the 2003 Iraq War from the perspective of human insecurity, distancing itself from the ‘securitisation of migration’ discourse. International migration from Iraq is a significant case to study because of the central role that the country’s different conflicts have played in changing international migration regimes and geographies. Studying the Iraqi exodus can help policymakers in the fields of international migration, security and political science to have a better understanding of migration and conflict patterns. The reader should bear in mind that Iraq is not a unique case; it is comparable, in varying degrees, to other conflicts and migration movements in other parts of the world. Based on secondary data available from international organisations, this paper will discuss Iraqi international migration with reference to the environment of human insecurity concept formulated in a conflict perspective. I will first present a conceptual framework which seems to be appropriate in explaining international migration flows in conflict zones, and then, I will discuss current Iraqi migration trends along with investigating their implications for the future."
"May 22, 2010","Ethnic conflicts and wars have been a significant factor determining minority populations’ outflow from Iraq. Turkmen as such minority have been subjected to oppression. Limited economic opportunities combined with the effects of wars imposed an environment of insecurity on Turkmen. This has further facilitated and promoted emigration as it offered “opportunity frameworks” for capable segments of this particular ethnic group. This paper presents findings from a survey conducted in Iraq in 2004 reaching 1040 Turkmen households. Systematic discrimination and ongoing internal and international conflicts and wars forced Turkmen as well as others to flee."
"May 22, 2010","We investigate how negotiators’ trait-level belongingness needs chart a course for their negotiations, and ultimately, determine the profitability of their deals. As predicted, the greater negotiators’ belongingness needs, the more stressed they felt in advance of the negotiation, leading these bargainers to reduce their economic aspirations. After the negotiation, the higher bargainers’ belongingness needs, the less accurate they were in reporting their partners’ needs and interests. As predicted, both low aspirations and inaccurate perceptions undermined negotiators’ outcomes. If negotiators were making the calculation initially to trade economic gains for relationship gains, we did not find evidence that this paid off with a partner who wanted to work together again in the future."
"May 22, 2010","The year 2009 started with a major setback in prospects for a negotiated political settlement in Southern Philippines. The so-called Memorandum of Agreement on Ancestral Domain (MOA-AD) between the government of the Philippines under the administration of the President Gloria Macapagal-Arroyo and the Moro Islamic Liberation Front (MILF) was declared unconstitutional by the Philippine Supreme Court and triggered the attacks of “rogue” MILF commanders on several villages, provoking the Philippine military to retaliate leading to the termination of the ceasefire agreement reached in 2003. The consequence has been an estimated 600,000 internally displaced persons staying in improvised evacuation centers and several hundreds of people killed, adding to the estimated death casualties of 100,000 to 150,000 since 1971. This paper aims to explain how come achieved agreements fail to bring the goal of managing the conflict. To answer this question, the paper introduces a conceptual analytical tool how to evaluate agreements reached to settle identity conflicts. Furthermore, this paper intends to introduce the concept of knowledge management that would eventually promote mechanisms of resilience to support agreements to adapt to the challenges brought by changes in the environment. The Southern Philippine case delivers an interesting situation where its classification as an ethnic conflict is rather misleading. This paper is a response to the call of Kit Collier (2004) for an exit to the primordialist approach which has dominated the discourse in the Philippines."
"May 22, 2010","Research studies conducted in a university setting were compared to other research conducted in workplaces. The purpose of this paper is to determine the importance of research setting in conflict research design. A meta-analysis of 28 related papers was conducted to compute effect sizes of the linkages between task conflict, relationship conflict, satisfaction and performance. The impact of the research setting (i.e., university vs. workplace) as a moderator was also tested. The research setting was found to be a significant moderator of the linkage between task conflict and satisfaction, task conflict and performance as well as relationship conflict and performance. In each case of moderation, the effect sizes were much greater when research was conducted in the workplace than in a university setting. Our findings suggest that research conducted in a university setting likely underestimated the impact of conflicts on the level of satisfaction and the degree of performance as compared to research conducted in a workplace setting."
"May 22, 2010","In this paper, I discuss transnational mobility using a perspective that emphasizes conflicts at macro, mezzo and micro levels while seeking ways in which such a conflict model of migration can be developed. I outline areas involving different degrees of conflict which are better seen on a continuous scale ranging from potential and latent tensions to violent conflicts and wars. Conflict aspects contribute to the dynamic nature of transnational human movements and, at the same time, appear to be antithetical to globalisation. The tensions/conflicts at individual, household, community, and state levels are not isolated from each other but inter-connect different levels. Within this conflict conceptualisation, transnational mobility appears as a move from human insecurity to human security."
"May 21, 2010","Introduction: Since 2005 when a Comprehensive Peace Agreement was signed between opposing parties in Sudan, over 100,000 Sudanese refugees have returned from Kakuma Refugee Camp in Kenya after having been living in exile for decades. At Kakuma Camp there are close to 40,000 Sudanese refugees who remain living in exile even though international observers have determined that political and social conditions have improved in Sudan. This study seeks to determine what role these refugees see themselves as having in the post-war reconstruction and development of Sudan; the possible secession of South Sudan; as well as how they believe civil society and Good Governance can be strengthened in Sudan. A particular focus will be made in targeting both educated refugee men and refugee women."
"May 21, 2010","This paper proposes and tests hypotheses drawn from the literature on gender, leadership, and conflict management about the outcomes facilitated by men and women in third party roles in dispute resolution. Results show that when managerial women occupy third party roles in which they lack authority over disputants, they facilitate very different outcomes than men in these roles, or men and women in third party roles with authority. The behavioral data suggest they do so by eschewing the agentic behavior displayed by others taking these third party roles."
"May 21, 2010","It is troubling that so little negotiation and conflict management knowledge exists in a climate change context, as climate change is the largest and most complicated interdependent situation ever confronted on planet earth. This theoretical paper reviews the sparse extant literature and then provides a brief overview to the science of climate change public policy. This review establishes a foundation for examining negotiation and conflict management research questions that emanate from current and future climate change negotiations. The 2009 Copenhagen Accord receives special consideration in this regard. This paper demonstrates how the negotiation and conflict management field can make important contributions to the study of interdependency in a climate change context."
"May 21, 2010","This research represents the first empirical investigation of the agreement bias in negotiation. The agreement bias is a negotiation trap characterized by settling for terms that are worse than one’s alternatives. Results from two experiments indicated that teams reduce the agreement bias by facilitating impasse in negotiations with a negative bargaining zone. Study 1 found that the addition of a single teammate was sufficient for generating discontinuity between teams and solos in their ability to avoid the agreement bias. Study 2 provided support for two proposed explanations for the agreement bias. Consistent with the faulty-judgment explanation, the role that required the most information processing benefited the most from the addition of a teammate. Consistent with the concern-with-being-liked explanation, solos were perceived as exhibiting more agreeable behavior than teams, and agreeable behavior was associated with a greater likelihood of agreement."
"May 21, 2010","The catastrophic dimensions of humanitarian emergencies are increasingly understood and more visible to states and international institutions.  There is greater appreciation for the social, economic and political effects that follow in the short to long term from such catastrophes whatsoever their causes. Rhetorically too, there is some recognition of the gendered dimensions of humanitarian emergencies in policy and institutional contexts. It is generally acknowledged that women are more visible in the refugee and internally displaced communities that typically result from many humanitarian crises. Women, because of their acute care responsibilities in most societies, also disproportionately bear the brunt of familial and communal care responsibilities in communities affected by disaster, war and natural emergencies.  Women, given their disparate social and legal status in many jurisdictions may have less access to capital, social goods and other legal means to protect themselves when crises arise. While tacit acknowledgement of this reality increasingly permeates academic and political discourses, the depth of the descriptive often fails to capture and fully grasp the extent of gender harms and gender insecurity. This article offers some preliminary assessment of the intersection of women’s experiences with situations of humanitarian crisis.  It does so by a survey of three important but frequently marginalized issues namely: vulnerability, masculinities and security in situations of crisis.  In particular the article seeks to explore the particular vulnerabilities experienced by women in the context of humanitarian emergencies. Drawing on Fineman’s theoretical framework ascribing the inevitability of vulnerability, the article proposes a shift in thinking around inevitable dependencies in the international context of humanitarian emergencies that might function to realign our understanding of and response to gendered vulnerabilities.  The work identifies the structural limitations and biases inherent in prevailing humanitarian crisis responses, and maps them onto the masculinities inherent in the standard operating procedures of international organizations and the cadre of experts that typically offer solutions to the society in crisis. The conclusion reflects on the limits of current international legal obligations in addressing women’s harms and needs in the context of humanitarian crises."
